
> wedding-rsvp@0.0.0 server
> node server/index.js

Server running on http://localhost:3000
MongoDB Connected: 127.0.0.1
Seeding Check Complete.
[2026-03-28T10:51:23.305Z] GET /api/content/family_families
[2026-03-28T10:51:23.305Z] GET /api/content/family_links
[2026-03-28T10:51:23.306Z] GET /api/content/groom_family_people
[2026-03-28T10:51:23.307Z] GET /api/content/groom_family_families
[2026-03-28T10:51:23.308Z] GET /api/content/groom_family_links
[2026-03-28T10:51:23.309Z] GET /api/rsvps
[2026-03-28T10:51:23.310Z] GET /api/content/events
[2026-03-28T10:51:23.310Z] GET /api/content/gallery
[2026-03-28T10:51:23.311Z] GET /api/content/moments
[2026-03-28T10:51:23.312Z] GET /api/content/stories
[2026-03-28T10:51:23.312Z] GET /api/content/contact_data
[2026-03-28T10:51:23.313Z] GET /api/content/family_people
[2026-03-28T10:51:23.314Z] GET /api/content/home_data
[2026-03-28T10:51:23.314Z] GET /api/content/family_families
[2026-03-28T10:51:23.315Z] GET /api/content/family_links
[2026-03-28T10:51:23.315Z] GET /api/content/groom_family_people
[2026-03-28T10:51:23.316Z] GET /api/content/groom_family_families
[2026-03-28T10:51:23.317Z] GET /api/content/groom_family_links
[2026-03-28T10:51:23.317Z] GET /api/rsvps
[2026-03-28T11:06:51.770Z] POST /api/rsvp
[2026-03-28T11:06:56.371Z] POST /api/login
[2026-03-28T11:07:02.682Z] POST /api/login
[2026-03-28T11:07:02.712Z] GET /api/guests
[2026-03-28T11:07:02.714Z] GET /api/rsvps
[2026-03-28T11:07:02.715Z] GET /api/users
[2026-03-28T11:07:02.726Z] GET /api/users
[2026-03-28T11:07:02.731Z] GET /api/guests
[2026-03-28T11:07:02.732Z] GET /api/rsvps
[2026-03-28T11:07:07.712Z] GET /api/users
[2026-03-28T11:07:07.714Z] GET /api/guests
[2026-03-28T11:07:07.715Z] GET /api/rsvps
[2026-03-28T11:07:12.715Z] GET /api/users
[2026-03-28T11:07:12.717Z] GET /api/guests
[2026-03-28T11:07:12.719Z] GET /api/rsvps
[2026-03-28T11:07:17.713Z] GET /api/users
[2026-03-28T11:07:17.714Z] GET /api/guests
[2026-03-28T11:07:17.715Z] GET /api/rsvps
[2026-03-28T11:07:19.053Z] POST /api/guests
[2026-03-28T11:07:19.061Z] GET /api/guests
[2026-03-28T11:07:19.062Z] GET /api/users
[2026-03-28T11:07:19.063Z] GET /api/rsvps
[2026-03-28T11:07:22.713Z] GET /api/users
[2026-03-28T11:07:22.714Z] GET /api/guests
[2026-03-28T11:07:22.716Z] GET /api/rsvps
[2026-03-28T11:07:27.713Z] GET /api/users
[2026-03-28T11:07:27.714Z] GET /api/guests
[2026-03-28T11:07:27.717Z] GET /api/rsvps
[2026-03-28T11:07:29.965Z] POST /api/guests
[2026-03-28T11:07:29.977Z] GET /api/guests
[2026-03-28T11:07:29.978Z] GET /api/users
[2026-03-28T11:07:29.979Z] GET /api/rsvps
[2026-03-28T11:07:32.712Z] GET /api/users
[2026-03-28T11:07:32.713Z] GET /api/guests
[2026-03-28T11:07:32.714Z] GET /api/rsvps
[2026-03-28T11:07:37.713Z] GET /api/users
[2026-03-28T11:07:37.715Z] GET /api/guests
[2026-03-28T11:07:37.716Z] GET /api/rsvps
[2026-03-28T11:07:42.712Z] GET /api/users
[2026-03-28T11:07:42.713Z] GET /api/guests
[2026-03-28T11:07:42.715Z] GET /api/rsvps
[2026-03-28T11:07:44.785Z] POST /api/users
[2026-03-28T11:07:44.793Z] GET /api/users
